document_id,title,so_ky_hieu,loai_van_ban,tinh_trang_hieu_luc,content_text_length,content_sha256
118151,"Đề án đặt tên đường trên địa bàn thị trấn Phù Mỹ,
huyện Phù Mỹ năm 2016",45/2016/NQ-HĐND,Nghị quyết,Còn hiệu lực,16,03b81e307062952ed77202f6a4aab85ec31d1b8779cfd737c775a43324c3ea37
118351,"Ban hành Quy chế xây dựng, quản lý và thực hiện Chương trình xúc tiến thương mại tỉnh Bình Định",77/2016/QĐ-UBND,Quyết định,Hết hiệu lực một phần,16,03b81e307062952ed77202f6a4aab85ec31d1b8779cfd737c775a43324c3ea37
118348,Ban hành Quy định định mức phân bổ dự toán chi thường xuyên ngân sách địa phương năm 2017 trên địa bàn tỉnh Bình Định,74/2016/QĐ-UBND,Quyết định,Hết hiệu lực toàn bộ,19,364ff91656e732dfe311c48410af2898350635ab303f681407da8ee3fe291b66
118352,Quy định điều kiện học sinh trên địa bàn tỉnh được hưởng chính sách hỗ trợ và mức khoán kinh phí hỗ trợ nấu ăn cho học sinh bán trú theo Nghị định số 116/2016/NĐ-CP ngày 18/7/2016 của Chính phủ,78/2016/QĐ-UBND,Quyết định,Hết hiệu lực toàn bộ,16,03b81e307062952ed77202f6a4aab85ec31d1b8779cfd737c775a43324c3ea37
118361,"Ban hành Quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Sở Thông tin và Truyền thông tỉnh Bình Định",90/2016/QĐ-UBND,Quyết định,Hết hiệu lực toàn bộ,16,03b81e307062952ed77202f6a4aab85ec31d1b8779cfd737c775a43324c3ea37
118359,"Về việc phê duyệt Đề án Thành lập, quản lý Quỹ Phòng, chống thiên tai tỉnh Bình Định",88/2016/QĐ-UBND,Quyết định,Hết hiệu lực toàn bộ,16,03b81e307062952ed77202f6a4aab85ec31d1b8779cfd737c775a43324c3ea37
118353,Ban hành giá dịch vụ sử dụng diện tích bán hàng tại chợ trên địa bàn tỉnh Bình Định,79/2016/QĐ-UBND,Quyết định,Hết hiệu lực toàn bộ,16,03b81e307062952ed77202f6a4aab85ec31d1b8779cfd737c775a43324c3ea37
118360,"Ban hành Quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Sở Du lịch tỉnh Bình Định",89/2016/QĐ-UBND,Quyết định,Hết hiệu lực toàn bộ,16,03b81e307062952ed77202f6a4aab85ec31d1b8779cfd737c775a43324c3ea37
118358,"Sửa đổi, bổ sung một số điều của Quyết định số 52/2012/QĐ-UBND ngày 20/12/2012 của UBND tỉnh phê duyệt Đề án xây dựng đội ngũ cộng tác viên thôn, làng, khu phố làm công tác bảo vệ, chăm sóc trẻ em ở tỉnh Bình Định",87/2016/QĐ-UBND,Quyết định,Hết hiệu lực toàn bộ,16,03b81e307062952ed77202f6a4aab85ec31d1b8779cfd737c775a43324c3ea37
118350,Ban hành Quy định chính sách hỗ trợ phát triển công nghiệp hỗ trợ trên địa bàn tỉnh Bình Định,76/2016/QĐ-UBND,Quyết định,Hết hiệu lực toàn bộ,16,03b81e307062952ed77202f6a4aab85ec31d1b8779cfd737c775a43324c3ea37
118355,"Sửa đổi, bổ sung một số điều của Quy định ban hành kèm theo Quyết định số 41/2014/QĐ-UBND ngày 25/12/2014 của UBND tỉnh về việc ban hành quy định về quản lý giá và điều tiết giá trên địa bàn tỉnh Bình Định",85/2016/QĐ-UBND,Quyết định,Hết hiệu lực toàn bộ,16,03b81e307062952ed77202f6a4aab85ec31d1b8779cfd737c775a43324c3ea37
118356,Ban hành Quy chế phối hợp trong quản lý nhà nước đối với công tác thi hành pháp luật về xử lý vi phạm hành chính trên địa bàn tỉnh Bình Định,86/2016/QĐ-UBND,Quyết định,Hết hiệu lực toàn bộ,16,03b81e307062952ed77202f6a4aab85ec31d1b8779cfd737c775a43324c3ea37
118346,"Ban hành Quy định phân cấp nguồn thu, nhiệm vụ chi ngân sách nhà nước giữa các cấp chính quyền địa phương tỉnh Bình Định giai đoạn 2017 - 2020.",73/2016/QĐ-UBND,Quyết định,Hết hiệu lực một phần,19,8866d7fee7c383c61c7b17b4b11ba416cc0283cbe7b2a3379c14ad382be2c7f9
118328,Về Kế hoạch phát triển kinh tế - xã hội 5 năm 2016-2020,13/2016/NQ-HĐND,Nghị quyết,Còn hiệu lực,16,03b81e307062952ed77202f6a4aab85ec31d1b8779cfd737c775a43324c3ea37
118345,"Quy định chế độ hỗ trợ cho cán bộ, công chức các cơ quan đảng, nhà nước, đoàn thể được giao thực hiện nhiệm vụ kiểm tra, thanh tra, giải quyết khiếu nại, tố cáo ở cơ sở trong những ngày đi thực tế trên địa bàn tỉnh Bình Định",72/2016/QĐ-UBND,Quyết định,Còn hiệu lực,19,9fb98b39d120ac6ac2ec94411e3865938aab7b4d5d905f2e5fee11c189ef431e
